Food,Serving,Calories,food_image
Burger King Whopper with Cheese,1 burger (315 g),759 cal,https://www.foodiesfeed.com/wp-content/uploads/2024/01/best-burger-in-town.jpg
Cheeseburger,1 burger (156 g),410 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/03/bacon-cheeseburger-close-up.jpg
Chicken Breast,1 piece (71 g),116 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/paleo-chicken-breast-with-mashed-cauliflower.jpg
Chicken Fajita,1 sandwich (222 g),326 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/01/chicken-fajitas-in-a-mexican-restaurant.jpg
Chicken McNuggets,1 nugget (16 g),48 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/12/grilling-chicken-satay.jpg
Chicken Nuggets,1 piece (20 g),59 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/12/grilling-chicken-satay.jpg
Chicken Pizziola,1 sandwich (320 g),451 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/12/grilling-chicken-satay.jpg
Chicken Sandwich,1 sandwich (170 g),410 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/argentinian-beef-steak-sandwich.jpg
Chicken Teriyaki Sandwich,1 sandwich (266 g),367 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/argentinian-beef-steak-sandwich.jpg
Chicken Wings,1 piece (29 g),94 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/08/crispy-spicy-chicken-wings.jpg
Chop Suey,1 serving (340 g),585 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/05/noodles-with-wooden-chopsticks.jpg
Curly Fries,1 serving (128 g),398 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/05/fresh-curly-kale.jpg
Double Cheeseburger,1 burger (155 g),414 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/04/double-cheeseburger.jpg
Egg Roll,1 roll (80 g),200 cal,https://www.foodiesfeed.com/wp-content/uploads/2018/08/high-protein-brunch-with-poached-eggs-beans-and-bacon.jpg
Falafel,1 patty (17 g),57 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/04/maoz-falafel.jpg
Filet-o-Fish,1 sandwich (142 g),400 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/04/filet-mignon-with-greens.jpg
Fish and Chips,1 serving (300 g),585 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/potato-and-beetroot-chips.jpg
Fish Sandwich,1 sandwich (158 g),431 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/04/open-sandwich-with-salmon-cream-avocado.jpg
French Fries,1 serving (71 g),222 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/01/beef-steaks-with-french-fries.jpg
Grilled Chicken Salad,1 salad (305 g),268 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/04/grilled-whole-chicken.jpg
Ham Sandwich,1 sandwich (146 g),352 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/05/deli-ham-sandwich.jpg
Hamburger,1 sandwich (110 g),279 cal,https://www.foodiesfeed.com/wp-content/uploads/2024/01/best-burger-in-town.jpg
Hot Dog,1 hot dog (116 g),312 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/08/hot-dog-in-hands-2.jpg
Italian BMT,1 sandwich (224 g),410 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/basic-italian-pizza-margherita.jpg
Lasagna,1 piece (130 g),172 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/03/lasagna-single-serving-on-a-white-plate-in-a-restaurant.jpg
McDonald’s Big Mac,1 burger (219 g),561 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/colorful-macarons-tower.jpg
McDonald’s Cheeseburger,1 sandwich (114 g),300 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/03/bacon-cheeseburger-close-up.jpg
McDonald’s Chicken Nuggets,1 nugget (16 g),48 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/12/grilling-chicken-satay.jpg
McDonald’s Double Cheeseburger,1 burger (155 g),437 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/04/double-cheeseburger.jpg
McDonald’s Filet-o-Fish,1 sandwich (142 g),391 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/04/filet-mignon-with-greens.jpg
McDonald’s McMuffi Egg,1 burger (129 g),290 cal,https://www.foodiesfeed.com/wp-content/uploads/2018/08/high-protein-brunch-with-poached-eggs-beans-and-bacon.jpg
McDonald’s Mighty Wings,1 wing (31 g),95 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/08/crispy-spicy-chicken-wings.jpg
Meatball Sandwich,1 sandwich (299 g),481 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/03/spaghetti-with-meatballs-and-cheese.jpg
Nachos with Cheese,10 nachos (188 g),575 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/12/nachos-close-up.jpg
Onion Rings,1 ring (6.5 g),25 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/11/onions-on-onions-on-onions.jpg
Smoked Salmon,1 oz. (28.35 g),44 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/02/healthy-smoked-salmon-sandwich.jpg
Spicy Italian,1 sandwich (219 g),480 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/08/girl-pouring-a-spicy-sauce.jpg
Subway Club Sandwich,1 sandwich (238 g),312 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/argentinian-beef-steak-sandwich.jpg
Tortilla Wrap,1 wrap (63 g),171 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/08/chicken-avocado-wraps.jpg
Tuna,1 oz. (28.35 g),24 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/tuna-at-a-market.jpg
Turkey,1 oz. (28.35 g),29 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/woman-cutting-turkey-thigh.jpg
Veggie Burger,1 burger (215 g),389 cal,https://www.foodiesfeed.com/wp-content/uploads/2024/01/best-burger-in-town.jpg
Veggie Delight,1 sandwich (166 g),229 cal,https://www.foodiesfeed.com/wp-content/uploads/2018/12/veggies-soup.jpg
Veggie Patty,1 sandwich (247 g),963 cal,https://www.foodiesfeed.com/wp-content/uploads/2018/12/veggies-soup.jpg
Wendy’s Jr. Bacon Cheeseburger,1 burger (161 g),420 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/03/bacon-cheeseburger-close-up.jpg
Wendy’s Jr. Cheeseburger,1 burger (129 g),290 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/03/bacon-cheeseburger-close-up.jpg
Wendy’s Son of Baconator,1 burger (218 g),700 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/07/delicious-eclairs-on-a-plate-decorated-with-dried-raspberries.jpg
Zinger Burger,1 sandwich (202 g),517 cal,https://www.foodiesfeed.com/wp-content/uploads/2024/01/best-burger-in-town.jpg
